"Story","Title","Result","Date","Stability","Duration (s)"
"Baby","Go to baby page","SUCCESS","2023-04-03T23:10:08.7948384+07:00[Asia/Jakarta]","0.0","19.25"
"Baby","Menu Pakaian Newboarn Bayi","SUCCESS","2023-04-03T23:10:29.0045281+07:00[Asia/Jakarta]","0.0","10.71"
"Baby","Menu Aksesoris bayi 1","SUCCESS","2023-04-03T23:10:40.4997129+07:00[Asia/Jakarta]","0.0","10.92"
"Baby","Menu Koleksi Newborn","SUCCESS","2023-04-03T23:10:52.2161202+07:00[Asia/Jakarta]","0.0","10.58"
"Baby","Menu One Piece","SUCCESS","2023-04-03T23:11:13.2925817+07:00[Asia/Jakarta]","0.0","11.65"
"Baby","Menu Atasan 1","SUCCESS","2023-04-03T23:11:25.7359967+07:00[Asia/Jakarta]","0.0","13.98"
"Baby","Menu Baju Terusan","SUCCESS","2023-04-03T23:11:40.4881912+07:00[Asia/Jakarta]","0.0","15.37"
"Baby","Menu Legging","SUCCESS","2023-04-03T23:11:56.6286455+07:00[Asia/Jakarta]","0.0","29.86"
"Baby","Menu AIRism 1","SUCCESS","2023-04-03T23:13:17.9423222+07:00[Asia/Jakarta]","0.0","22.32"
"Baby","Menu Kaos Kaki 1","SUCCESS","2023-04-03T23:13:41.0222289+07:00[Asia/Jakarta]","0.0","20.31"
"Baby","Menu Aksesoris 2","SUCCESS","2023-04-03T23:14:02.0874326+07:00[Asia/Jakarta]","0.0","26.2"
